MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
13.4,22.9,0.6,44,20,24,71,22,1007.7,1007.1,16.9,21.8,No,No
7.4,25.1,0,44,4,22,44,25,1010.6,1007.8,17.2,24.3,No,No
12.9,25.7,0,46,19,26,38,30,1007.6,1008.7,21,23.2,No,No
9.2,28,0,24,11,9,45,16,1017.6,1012.8,18.1,26.5,No,No
17.5,32.3,1,41,7,20,82,33,1010.8,1006,17.8,29.7,No,No
14.6,29.7,0.2,56,19,24,55,23,1009.2,1005.4,20.6,28.9,No,No
14.3,25,0,50,20,24,49,19,1009.6,1008.2,18.1,24.6,No,No
7.7,26.7,0,35,6,17,48,19,1013.4,1010.1,16.3,25.5,No,No
9.7,31.9,0,80,7,28,42,9,1008.9,1003.6,18.3,30.2,No,Yes
13.1,30.1,1.4,28,15,11,58,27,1007,1005.7,20.1,28.2,Yes,No
13.4,30.4,0,30,17,6,48,22,1011.8,1008.7,20.4,28.8,No,Yes
15.9,21.7,2.2,31,15,13,89,91,1010.5,1004.2,15.9,17,Yes,Yes
15.9,18.6,15.6,61,28,28,76,93,994.3,993,17.4,15.8,Yes,Yes
12.6,21,3.6,44,24,20,65,43,1001.2,1001.8,15.8,19.8,Yes,No
8.4,24.6,0,NA,4,30,57,32,1009.7,1008.7,15.9,23.5,No,NA
9.8,27.7,NA,50,NA,22,50,28,1013.4,1010.3,17.3,26.2,NA,No
14.1,20.9,0,22,11,9,69,82,1012.2,1010.4,17.2,18.1,No,Yes
13.5,22.9,16.8,63,6,20,80,65,1005.8,1002.2,18,21.5,Yes,Yes
11.2,22.5,10.6,43,24,17,47,32,1009.4,1009.7,15.5,21,Yes,No
9.8,25.6,0,26,17,6,45,26,1019.2,1017.1,15.8,23.2,No,No
11.5,29.3,0,24,9,9,56,28,1019.3,1014.8,19.1,27.3,No,No
17.1,33,0,43,17,22,38,28,1013.6,1008.1,24.5,31.6,No,No
20.5,31.8,0,41,19,20,54,24,1007.8,1005.7,23.8,30.8,No,No
15.3,30.9,0,33,6,13,55,23,1011,1008.2,20.9,29,No,No
12.6,32.4,0,43,4,19,49,17,1012.9,1010.1,21.5,31.2,No,No
16.2,33.9,0,35,9,13,45,19,1010.9,1007.6,23.2,33,No,No
16.9,33,0,57,0,26,41,28,1006.8,1003.6,26.6,31.2,No,No
20.1,32.7,0,48,13,30,56,15,1005.2,1001.7,24.6,32.1,No,No
19.7,27.2,0,46,19,30,49,22,1004.8,1004.2,21.6,26.1,No,Yes
12.5,24.2,1.2,50,11,22,78,70,1005.6,1003.4,12.5,18.2,Yes,No
12,24.4,0.8,39,17,17,48,28,1006.1,1005.1,16.9,22.7,No,No
11.3,26.5,0,56,19,31,46,26,1004.5,1003.2,19.7,25.7,No,No
