Car,Model,Volume,Weight,CO2
Toyoty,Aygo,1000,790,99
Mitsubishi,Space Star,1200,1160,95
Skoda,Citigo,1000,929,95
Fiat,500,900,865,90
Mini,Cooper,1500,1140,105
VW,Up!,1000,929,105
Skoda,Fabia,1400,1109,90
Mercedes,A-Class,1500,1365,92
Ford,Fiesta,1500,1112,98
Audi,A1,1600,1150,99
Hyundai,I20,1100,980,99
Suzuki,Swift,1300,990,101
Ford,Fiesta,1000,1112,99
Honda,Civic,1600,1252,94
Hundai,I30,1600,1326,97
Opel,Astra,1600,1330,97
BMW,1,1600,1365,99
Mazda,3,2200,1280,104
Skoda,Rapid,1600,1119,104
Ford,Focus,2000,1328,105
Ford,Mondeo,1600,1584,94
Opel,Insignia,2000,1428,99
Mercedes,C-Class,2100,1365,99
Skoda,Octavia,1600,1415,99
Volvo,S60,2000,1415,99
Mercedes,CLA,1500,1465,102
Audi,A4,2000,1490,104
Audi,A6,2000,1725,114
Volvo,V70,1600,1523,109
BMW,5,2000,1705,114
Mercedes,E-Class,2100,1605,115
Volvo,XC70,2000,1746,117
Ford,B-Max,1600,1235,104
BMW,216,1600,1390,108
Opel,Zafira,1600,1405,109
Mercedes,SLK,2500,1395,120
Volvo_synthetic,V70_1,1600,1587,101
Hundai_synthetic,I30_2,1500,1397,97
Mercedes_synthetic,A-Class_3,1600,1334,100
Ford_synthetic,Mondeo_4,1700,1542,98
Skoda_synthetic,Rapid_5,1400,1196,103
Mercedes_synthetic,C-Class_6,2000,1348,104
Hyundai_synthetic,I20_7,1100,865,90
Hyundai_synthetic,I20_8,1100,878,90
Skoda_synthetic,Octavia_9,1600,1332,104
Mercedes_synthetic,SLK_10,2400,1440,113
Skoda_synthetic,Octavia_11,1700,1428,114
Skoda_synthetic,Citigo_12,1100,991,110
Opel_synthetic,Insignia_13,2000,1390,108
Mitsubishi_synthetic,Space Star_14,1300,1174,94
Skoda_synthetic,Octavia_15,1600,1471,93
BMW_synthetic,5_16,1900,1677,109
Mitsubishi_synthetic,Space Star_17,1200,1201,94
Ford_synthetic,Mondeo_18,1500,1524,101
Ford_synthetic,B-Max_19,1700,1202,99
Suzuki_synthetic,Swift_20,1300,956,96
Opel_synthetic,Insignia_21,2000,1320,111
Volvo_synthetic,S60_22,1900,1459,106
Audi_synthetic,A4_23,2100,1448,106
Audi_synthetic,A6_24,2000,1726,103
Opel_synthetic,Astra_25,1600,1373,94
Hundai_synthetic,I30_26,1600,1366,100
Skoda_synthetic,Citigo_27,1000,989,95
Skoda_synthetic,Fabia_28,1400,1100,108
Ford_synthetic,Mondeo_29,1600,1546,105
Ford_synthetic,Fiesta_30,1500,1105,105
Mazda_synthetic,3_31,2400,1128,104
Fiat_synthetic,500_32,900,790,90
Volvo_synthetic,S60_33,2000,1296,100
Honda_synthetic,Civic_34,1500,1162,97
Ford_synthetic,Fiesta_35,1600,1148,111
Mercedes_synthetic,CLA_36,1600,1384,99
Mitsubishi_synthetic,Space Star_37,1200,1126,102
Ford_synthetic,Focus_38,1900,1445,101
Audi_synthetic,A6_39,1900,1693,112
Skoda_synthetic,Fabia_40,1500,1175,102
Mercedes_synthetic,A-Class_41,1600,1281,101
Opel_synthetic,Zafira_42,1600,1387,102
Honda_synthetic,Civic_43,1500,1166,97
BMW_synthetic,1_44,1600,1334,104
Mercedes_synthetic,SLK_45,2500,1471,108
Fiat_synthetic,500_46,900,790,90
Mitsubishi_synthetic,Space Star_47,1300,1199,93
VW_synthetic,Up!_48,1000,950,96
Fiat_synthetic,500_49,1000,812,102
Volvo_synthetic,V70_50,1600,1393,104
Mazda_synthetic,3_51,2200,1286,106
Mercedes_synthetic,CLA_52,1600,1417,104
BMW_synthetic,216_53,1500,1411,109
Audi_synthetic,A1_54,1600,1152,102
Mercedes_synthetic,SLK_55,2500,1539,109
Honda_synthetic,Civic_56,1500,1230,106
Mercedes_synthetic,E-Class_57,2100,1513,110
Hundai_synthetic,I30_58,1700,1342,111
Mercedes_synthetic,A-Class_59,1400,1385,102
Honda_synthetic,Civic_60,1700,1374,97
Mercedes_synthetic,C-Class_61,1900,1440,99
Ford_synthetic,Mondeo_62,1600,1616,113
Opel_synthetic,Astra_63,1600,1462,112
Mazda_synthetic,3_64,2300,1173,106
